"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_002E","B19001C_002M","B19001C_003E","B19001C_003M","B19001C_004E","B19001C_004M","B19001C_005E","B19001C_005M","B19001C_006E","B19001C_006M","B19001C_007E","B19001C_007M","B19001C_008E","B19001C_008M","B19001C_009E","B19001C_009M","B19001C_010E","B19001C_010M","B19001C_011E","B19001C_011M","B19001C_012E","B19001C_012M","B19001C_013E","B19001C_013M","B19001C_014E","B19001C_014M","B19001C_015E","B19001C_015M","B19001C_016E","B19001C_016M","B19001C_017E","B19001C_017M"
"0500000US36041","Hamilton County, New York","1","2","0","12","0","12","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0500000US36115","Washington County, New York","62","33","2","3","19","14","0","28","0","28","0","28","0","28","0","28","0","28","0","28","4","8","9","13","0","28","0","28","20","27","8","14","0","28"
"0500000US36013","Chautauqua County, New York","223","71","47","37","64","51","0","28","0","28","12","15","16","22","0","28","5","9","32","47","10","9","0","28","37","46","0","28","0","28","0","28","0","28"
"0500000US36047","Kings County, New York","3048","353","414","140","337","157","160","108","99","71","145","83","147","106","143","71","166","90","43","44","244","120","223","100","277","105","240","115","130","76","112","72","168","105"
"0500000US36061","New York County, New York","2785","512","283","138","237","121","207","119","357","294","98","86","34","57","127","98","129","80","87","90","84","72","370","179","319","209","100","62","74","56","81","75","198","135"
"0500000US36107","Tioga County, New York","59","38","0","25","11","16","3","4","0","25","0","25","0","25","0","25","8","14","0","25","2","4","0","25","35","33","0","25","0","25","0","25","0","25"
"0500000US36011","Cayuga County, New York","58","41","8","15","0","28","1","2","0","28","14","17","0","28","3","6","16","16","0","28","3","5","13","19","0","28","0","28","0","28","0","28","0","28"
"0500000US36073","Orleans County, New York","44","27","9","14","0","25","3","6","5","9","0","25","0","25","4","7","0","25","0","25","0","25","7","8","3","5","0","25","13","18","0","25","0","25"
"0500000US36091","Saratoga County, New York","123","70","14","23","0","28","17","27","0","28","0","28","0","28","0","28","0","28","0","28","0","28","19","29","1","8","30","38","42","42","0","28","0","28"
"0500000US36087","Rockland County, New York","165","77","11","17","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","21","24","0","28","15","18","34","47","46","51","38","23"
"0500000US36021","Columbia County, New York","21","17","5","7","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","2","3","7","10","2","3","5","7","0","28"
"0500000US36049","Lewis County, New York","18","11","0","22","3","5","0","22","0","22","2","3","0","22","0","22","0","22","0","22","0","22","10","9","3","4","0","22","0","22","0","22","0","22"
"0500000US36063","Niagara County, New York","755","105","69","27","115","58","24","18","52","28","50","35","34","21","44","25","82","71","0","28","38","23","102","59","93","40","11","13","5","8","11","12","25","19"
"0500000US36119","Westchester County, New York","1148","213","39","32","106","67","48","47","33","40","23","23","59","57","92","83","58","56","79","66","91","59","58","52","275","138","10","12","87","78","20","24","70","57"
"0500000US36025","Delaware County, New York","27","18","3","4","1","3","2","4","0","25","2","4","10","12","0","25","0","25","0","25","2","3","5","9","2","4","0","25","0","25","0","25","0","25"
"0500000US36031","Essex County, New York","27","22","3","5","8","10","0","25","2","5","0","25","0","25","0","25","9","14","0","25","0","25","2","3","0","25","0","25","0","25","0","25","3","5"
"0500000US36057","Montgomery County, New York","16","18","0","25","7","11","0","25","0","25","0","25","0","25","9","13","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36059","Nassau County, New York","963","208","110","79","19","28","74","73","39","34","41","48","7","14","34","50","90","83","0","28","13","16","92","78","75","46","73","65","67","54","104","74","125","64"
"0500000US36085","Richmond County, New York","340","100","7","13","5","7","0","28","11","17","9","13","0","28","0","28","32","31","10","16","51","60","93","74","8","14","35","49","23","36","28","32","28","35"
"0500000US36097","Schuyler County, New York","14","11","0","19","0","19","0","19","1","2","0","19","0","19","0","19","7","10","0","19","0","19","5","6","0","19","0","19","0","19","1","3","0","19"
"0500000US36109","Tompkins County, New York","61","48","0","28","0","28","19","30","0","28","0","28","0","28","0","28","0","28","0","28","10","12","0","28","12","18","11","18","0","28","0","28","9","15"
"0500000US36017","Chenango County, New York","66","37","0","25","0","25","0","25","0","25","0","25","0","25","0","25","5","9","0","25","6","6","10","12","29","33","16","20","0","25","0","25","0","25"
"0500000US36023","Cortland County, New York","5","7","0","25","0","25","0","25","0","25","0","25","0","25","0","25","5","7","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36045","Jefferson County, New York","130","55","18","29","0","28","7","10","26","19","0","28","0","28","1","2","22","25","0","28","7","10","16","21","4","6","3","5","0","28","21","24","5","8"
"0500000US36065","Oneida County, New York","155","72","17","26","0","28","18","22","7","8","7","13","14","15","26","33","0","28","2","6","20","28","0","28","18","16","4","7","0","28","22","34","0","28"
"0500000US36103","Suffolk County, New York","912","194","91","83","84","55","30","42","3","6","21","21","94","65","18","21","8","10","12","14","7","10","63","55","130","109","112","74","89","66","21","19","129","81"
"0500000US36121","Wyoming County, New York","87","63","21","34","0","25","0","25","0","25","13","20","14","22","0","25","0","25","0","25","0","25","0","25","0","25","23","36","0","25","16","22","0","25"
"0500000US36015","Chemung County, New York","60","47","36","40","0","28","2","3","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","22","29","0","28","0","28","0","28","0","28"
"0500000US36075","Oswego County, New York","90","44","7","10","3","4","20","23","0","28","12","12","2","5","0","28","0","28","0","28","5","8","17","22","5","5","8","12","1","3","10","11","0","28"
"0500000US36077","Otsego County, New York","31","22","0","28","0","28","0","28","7","11","2","5","0","28","0","28","0","28","6","9","4","6","0","28","6","10","0","28","0","28","6","10","0","28"
"0500000US36117","Wayne County, New York","75","43","7","10","14","23","0","28","0","28","0","28","3","5","0","28","0","28","4","7","15","20","20","25","8","13","0","28","4","6","0","28","0","28"
"0500000US36001","Albany County, New York","255","71","37","25","7","10","17","26","13","22","13","17","23","26","0","28","0","28","40","41","27","39","13","14","52","31","0","28","0","28","13","20","0","28"
"0500000US36007","Broome County, New York","188","75","30","26","30","40","51","51","5","8","26","28","0","28","0","28","0","28","10","15","0","28","14","20","0","28","5","10","8","13","0","28","9","14"
"0500000US36029","Erie County, New York","1779","188","390","126","211","70","102","54","209","98","119","63","76","39","76","44","18","19","30","24","175","88","170","78","91","48","79","44","9","12","24","24","0","28"
"0500000US36053","Madison County, New York","212","56","21","31","8","14","13","20","0","28","39","56","13","18","3","8","0","28","26","37","8","14","54","49","11","15","0","28","0","28","16","18","0","28"
"0500000US36105","Sullivan County, New York","40","38","8","11","0","28","0","28","0","28","0","28","0","28","4","7","0","28","0","28","0","28","25","35","0","28","0","28","0","28","3","4","0","28"
"0500000US36037","Genesee County, New York","296","70","6","8","38","22","34","20","13","20","26","17","11","10","7","8","20","18","0","28","57","29","34","25","50","27","0","28","0","28","0","28","0","28"
"0500000US36071","Orange County, New York","463","124","72","73","0","28","23","38","0","28","9","14","46","53","40","43","0","28","13","21","9","14","42","44","111","69","0","28","13","20","76","67","9","15"
"0500000US36005","Bronx County, New York","3923","433","729","248","450","156","302","149","254","133","189","100","181","107","187","109","255","189","138","66","419","193","226","106","219","108","124","63","15","15","164","122","71","60"
"0500000US36035","Fulton County, New York","51","43","0","28","0","28","0","28","40","41","0","28","0","28","0","28","0","28","0","28","0","28","11","17","0","28","0","28","0","28","0","28","0","28"
"0500000US36083","Rensselaer County, New York","106","80","0","28","7","8","10","13","2","4","0","28","65","77","0","28","0","28","0","28","3","4","0","28","19","29","0","28","0","28","0","28","0","28"
"0500000US36027","Dutchess County, New York","307","139","0","28","0","28","0","28","0","28","109","108","15","23","0","28","11","13","0","28","6","9","17","17","37","36","10","24","14","18","88","62","0","28"
"0500000US36043","Herkimer County, New York","25","15","8","10","0","28","5","7","0","28","0","28","0","28","0","28","0","28","0","28","0","28","9","12","0","28","0","28","0","28","0","28","3","4"
"0500000US36089","St. Lawrence County, New York","256","79","21","24","25","39","30","31","12","19","8","13","34","51","0","28","4","6","2","3","72","48","15","21","24","21","2","5","0","28","5","9","2","5"
"0500000US36113","Warren County, New York","48","33","0","28","0","28","0","28","0","28","0","28","0","28","20","28","0","28","21","36","0","28","0","28","0","28","3","8","0","28","0","28","4","8"
"0500000US36055","Monroe County, New York","1224","223","185","93","185","80","89","52","99","66","133","84","79","61","56","57","45","33","79","61","58","31","100","56","20","24","14","14","36","39","34","28","12","17"
"0500000US36111","Ulster County, New York","121","59","30","29","33","35","8","12","0","28","0","28","29","40","0","28","0","28","0","28","7","10","0","28","0","28","5","9","0","28","5","11","4","6"
"0500000US36051","Livingston County, New York","44","38","8","15","0","28","0","28","0","28","0","28","0","28","4","6","17","26","4","5","0","28","0","28","0","28","0","28","0","28","0","28","11","16"
"0500000US36039","Greene County, New York","53","25","0","25","37","29","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","14","33","0","25","2","3","0","25","0","25"
"0500000US36003","Allegany County, New York","60","34","4","6","0","25","0","25","10","14","0","25","23","20","0","25","3","5","0","25","20","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36009","Cattaraugus County, New York","854","75","109","37","101","32","105","39","71","29","52","18","34","17","52","27","55","22","17","10","61","24","74","26","54","21","30","15","12","9","17","14","10","12"
"0500000US36093","Schenectady County, New York","119","60","12","19","27","35","0","28","0","28","0","28","0","28","0","28","12","20","0","28","13","22","18","16","26","20","0","28","11","17","0","28","0","28"
"0500000US36123","Yates County, New York","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22"
