id,County,Tot,TotLocal government workers,"TotCar, truck, or van - drove alone","TotCar, truck, or van - drove aloneLocal government workers","TotCar, truck, or van - carpooled","TotCar, truck, or van - carpooledLocal government workers",TotPublic transportation (excluding taxicab),TotPublic transportation (excluding taxicab)Local government workers,TotPublic transportation (excluding taxicab)State government workers,TotPublic transportation (excluding taxicab)Federal government workers,TotPublic transportation (excluding taxicab)Self-employed in own not incorporated business workers,TotPublic transportation (excluding taxicab)Unpaid family workers,TotWalked,TotWalkedPrivate for-profit wage and salary workers,TotWalkedPrivate for-profit wage and salary workersEmployee of private company workers,TotWalkedPrivate for-profit wage and salary workersSelf-employed in own incorporated business workers,TotWalkedPrivate not-for-profit wage and salary workers,TotWalkedLocal government workers,TotWalkedState government workers,TotWalkedFederal government workers,TotWalkedSelf-employed in own not incorporated business workers,TotWalkedUnpaid family workers,"TotTaxicab, motorcycle, bicycle, or other means","TotTaxicab, motorcycle, bicycle, or other meansPrivate for-profit wage and salary workers","TotTaxicab, motorcycle, bicycle, or other meansPrivate for-profit wage and salary workersEmployee of private company workers","TotTaxicab, motorcycle, bicycle, or other meansPrivate for-profit wage and salary workersSelf-employed in own incorporated business workers","TotTaxicab, motorcycle, bicycle, or other meansPrivate not-for-profit wage and salary workers","TotTaxicab, motorcycle, bicycle, or other meansLocal government workers","TotTaxicab, motorcycle, bicycle, or other meansState government workers","TotTaxicab, motorcycle, bicycle, or other meansFederal government workers","TotTaxicab, motorcycle, bicycle, or other meansSelf-employed in own not incorporated business workers","TotTaxicab, motorcycle, bicycle, or other meansUnpaid family workers",TotWorked at home,TotWorked at homePrivate for-profit wage and salary workers,TotWorked at homePrivate for-profit wage and salary workersEmployee of private company workers,TotWorked at homePrivate for-profit wage and salary workersSelf-employed in own incorporated business workers,TotWorked at homePrivate not-for-profit wage and salary workers,TotWorked at homeLocal government workers,TotWorked at homeState government workers,TotWorked at homeFederal government workers,TotWorked at homeSelf-employed in own not incorporated business workers,TotWorked at homeUnpaid family workers,TableReferenceId,CensusNotes 
0500000US36115,"Washington, New York",17999,2418,14431,2118,1190,203,250,0,16,11,35,0,776,351,320,31,58,82,57,3,203,22,165,135,120,15,14,0,13,0,3,0,1187,623,483,140,12,15,23,10,489,15,B08528,Means of Transportation to Work
0500000US36013,"Chautauqua, New York",54411,5533,44157,4901,4903,439,197,0,29,0,28,0,2385,1638,1553,85,232,97,183,18,206,11,691,430,392,38,32,25,97,0,96,11,2078,769,682,87,205,71,52,4,952,25,B08528,Means of Transportation to Work
0500000US36047,"Kings, New York",866790,122343,264603,52853,52761,9178,369606,47957,11144,4854,19072,231,100174,66272,62023,4249,15621,8709,2094,974,6398,106,27528,18974,17280,1694,2497,2206,456,309,3044,42,52118,28208,20272,7936,3567,1440,434,292,17931,246,B08528,Means of Transportation to Work
0500000US36061,"New York, New York",2567299,153150,253015,33897,58523,5397,1942280,103938,35991,30761,74435,1302,186810,135310,125331,9979,27427,6414,2196,2626,12576,261,66177,48981,44740,4241,7060,2424,861,930,5884,37,60494,33926,23815,10111,4798,1080,346,474,19613,257,B08528,Means of Transportation to Work
0500000US36107,"Tioga, New York",14756,1095,12172,948,1351,132,31,0,0,0,3,0,386,290,281,9,51,2,9,2,32,0,181,127,110,17,13,8,13,0,20,0,635,305,245,60,50,5,12,6,257,0,B08528,Means of Transportation to Work
0500000US36011,"Cayuga, New York",27769,2640,22680,2350,1851,174,191,52,9,0,0,0,1401,1000,948,52,223,21,10,8,128,11,423,327,303,24,39,10,11,0,36,0,1223,555,470,85,107,33,17,9,494,8,B08528,Means of Transportation to Work
0500000US36073,"Orleans, New York",13750,1460,10926,1286,1243,93,100,54,0,0,0,0,478,270,218,52,91,27,47,8,32,3,439,367,351,16,59,0,13,0,0,0,564,210,194,16,40,0,5,19,284,6,B08528,Means of Transportation to Work
0500000US36091,"Saratoga, New York",95766,6860,77959,6194,7564,414,433,0,4,0,24,0,2005,1288,1178,110,312,179,31,72,118,5,751,579,513,66,6,16,24,0,110,16,7054,4812,4015,797,366,57,62,43,1699,15,B08528,Means of Transportation to Work
0500000US36087,"Rockland, New York",117212,9728,85364,8251,12143,790,5330,182,34,9,208,0,4714,2583,2470,113,1485,227,45,11,347,16,2431,1490,1428,62,516,63,100,0,262,0,7230,4196,2727,1469,576,215,90,31,2101,21,B08528,Means of Transportation to Work
0500000US36021,"Columbia, New York",24070,2481,18693,2282,1738,106,178,0,5,0,27,0,1200,819,720,99,119,62,6,10,181,3,283,215,215,0,28,8,32,0,0,0,1978,1106,700,406,148,23,30,14,640,17,B08528,Means of Transportation to Work
0500000US36049,"Lewis, New York",8619,1394,6545,1202,794,159,77,8,0,0,0,0,553,204,144,60,61,9,0,10,232,37,86,51,50,1,0,10,0,0,25,0,564,217,190,27,21,6,14,3,288,15,B08528,Means of Transportation to Work
0500000US36063,"Niagara, New York",76381,7743,64187,7094,5300,373,1139,83,20,0,0,17,1871,1309,1213,96,310,78,7,33,131,3,1191,974,931,43,84,41,9,8,75,0,2693,1622,1255,367,67,74,25,57,829,19,B08528,Means of Transportation to Work
0500000US36119,"Westchester, New York",446057,40414,304702,33409,39321,2968,46003,1890,1458,447,2173,18,23195,17125,16502,623,2469,1323,394,155,1673,56,7363,5553,5229,324,569,446,110,7,654,24,25473,15807,10414,5393,1734,378,155,370,6972,57,B08528,Means of Transportation to Work
0500000US36025,"Delaware, New York",20099,2281,15256,2020,1657,123,145,27,14,11,0,0,1357,928,868,60,171,50,65,0,112,31,341,193,172,21,7,34,0,8,96,3,1343,488,243,245,30,27,11,13,744,30,B08528,Means of Transportation to Work
0500000US36031,"Essex, New York",16719,1706,12938,1466,1735,180,158,4,2,1,0,0,491,359,288,71,78,5,18,0,26,5,347,293,289,4,7,8,18,7,14,0,1050,468,281,187,68,43,16,16,418,21,B08528,Means of Transportation to Work
0500000US36057,"Montgomery, New York",19507,1649,14965,1437,1981,109,102,5,0,0,14,0,1034,755,670,85,106,53,0,47,73,0,545,509,509,0,21,9,6,0,0,0,880,359,301,58,57,36,9,26,364,29,B08528,Means of Transportation to Work
0500000US36059,"Nassau, New York",577326,50011,439628,43573,46822,2921,39275,1413,466,338,2840,11,17017,13028,12389,639,1610,1056,199,186,914,24,7386,5798,5480,318,544,468,103,57,412,4,27198,18664,11568,7096,1169,580,455,219,6036,75,B08528,Means of Transportation to Work
0500000US36085,"Richmond, New York",130142,21131,87684,16639,10744,1518,19757,1989,505,259,881,0,5048,3246,3097,149,674,581,126,94,326,1,1608,1094,1049,45,159,182,63,35,61,14,5301,3185,2206,979,336,222,50,115,1387,6,B08528,Means of Transportation to Work
0500000US36097,"Schuyler, New York",6214,663,4468,533,813,84,142,0,0,0,25,0,225,144,122,22,21,18,2,0,40,0,63,39,26,13,3,7,11,0,3,0,503,113,80,33,61,21,0,0,303,5,B08528,Means of Transportation to Work
0500000US36109,"Tompkins, New York",60191,3918,39391,2910,6219,322,3304,120,131,21,100,0,6951,3640,3479,161,1993,435,426,28,415,14,1204,760,733,27,270,76,47,22,29,0,3122,1446,1142,304,455,55,107,5,1027,27,B08528,Means of Transportation to Work
0500000US36017,"Chenango, New York",19159,2166,14476,1687,2412,302,83,21,0,0,0,0,941,589,564,25,77,121,8,0,120,26,201,140,140,0,22,13,0,0,26,0,1046,366,302,64,22,22,10,3,571,52,B08528,Means of Transportation to Work
0500000US36023,"Cortland, New York",22014,2261,17042,1948,2341,203,152,18,23,0,0,0,1295,777,751,26,92,52,253,11,110,0,216,139,137,2,14,27,25,0,11,0,968,370,255,115,37,13,217,0,292,39,B08528,Means of Transportation to Work
0500000US36045,"Jefferson, New York",56364,4017,44068,3554,5330,265,243,34,16,0,15,0,2951,732,715,17,132,94,44,1863,86,0,1035,670,649,21,73,8,21,232,31,0,2737,671,535,136,96,62,37,1045,766,60,B08528,Means of Transportation to Work
0500000US36065,"Oneida, New York",107645,9504,89051,8414,8535,551,1183,84,43,45,51,0,3567,2281,2172,109,700,221,88,13,252,12,820,549,538,11,55,46,90,28,45,7,4489,2278,1968,310,433,188,53,109,1358,70,B08528,Means of Transportation to Work
0500000US36103,"Suffolk, New York",642724,53667,534669,48764,50475,2514,11465,595,520,252,472,0,10249,7020,6331,689,1040,702,812,83,575,17,8477,6437,5933,504,704,417,292,131,481,15,27389,17253,11691,5562,1392,675,495,251,7120,203,B08528,Means of Transportation to Work
0500000US36121,"Wyoming, New York",15019,1541,12069,1331,1378,131,56,0,0,0,6,0,751,522,496,26,81,35,17,0,70,26,152,87,77,10,4,16,0,0,45,0,613,226,166,60,17,28,10,0,309,23,B08528,Means of Transportation to Work
0500000US36015,"Chemung, New York",37576,2784,31190,2442,3523,241,653,42,0,0,0,0,1103,782,743,39,147,35,2,0,136,1,319,253,253,0,20,0,21,0,25,0,788,329,281,48,82,24,9,0,332,12,B08528,Means of Transportation to Work
0500000US36075,"Oswego, New York",37090,4499,29685,3888,2914,423,414,74,63,0,6,0,1990,1029,960,69,316,54,365,22,176,28,438,307,307,0,42,27,23,0,39,0,1649,764,522,242,194,33,81,39,535,3,B08528,Means of Transportation to Work
0500000US36077,"Otsego, New York",28570,2186,21034,1868,2818,154,386,0,13,0,17,0,2332,1229,1200,29,542,119,165,0,244,33,582,374,365,9,97,0,17,37,57,0,1418,503,395,108,126,45,115,125,454,50,B08528,Means of Transportation to Work
0500000US36117,"Wayne, New York",30221,3375,24702,3020,2406,247,304,4,0,0,13,0,783,518,483,35,129,32,57,0,45,2,477,345,339,6,59,37,14,0,22,0,1549,904,732,172,33,35,27,31,503,16,B08528,Means of Transportation to Work
0500000US36001,"Albany, New York",224394,13825,177798,11751,18735,1058,12289,552,2651,155,250,17,7679,4210,4053,157,1207,347,1456,41,418,0,2586,1606,1594,12,341,62,337,69,171,0,5307,3386,2827,559,519,55,131,64,1142,10,B08528,Means of Transportation to Work
0500000US36007,"Broome, New York",90968,7534,74253,6546,7416,602,2830,161,785,0,101,0,3218,2331,2287,44,341,119,284,25,118,0,652,518,506,12,42,29,28,0,32,3,2599,1439,1241,198,135,77,82,32,834,0,B08528,Means of Transportation to Work
0500000US36029,"Erie, New York",469089,33019,386097,28364,36149,2493,16507,1080,1074,356,296,9,12122,8343,8011,332,1466,708,998,125,460,22,4791,3577,3407,170,395,144,288,182,195,10,13423,7897,6393,1504,893,230,327,295,3752,29,B08528,Means of Transportation to Work
0500000US36053,"Madison, New York",23973,2182,18239,1876,1772,170,169,0,11,0,0,0,1685,978,863,115,281,90,119,36,173,8,293,155,137,18,74,31,0,0,30,3,1815,968,824,144,88,15,10,27,699,8,B08528,Means of Transportation to Work
0500000US36105,"Sullivan, New York",27031,3253,21909,2830,2007,266,151,0,10,0,0,0,882,485,462,23,236,66,6,34,55,0,482,337,334,3,91,15,33,6,0,0,1600,802,425,377,247,76,28,28,419,0,B08528,Means of Transportation to Work
0500000US36037,"Genesee, New York",24371,2352,20140,2038,1925,185,147,0,3,0,0,0,909,710,674,36,83,61,6,0,44,5,522,441,431,10,28,39,0,0,14,0,728,402,330,72,47,29,17,0,231,2,B08528,Means of Transportation to Work
0500000US36071,"Orange, New York",150447,14701,115806,12893,13185,860,2561,199,25,26,31,24,6408,3507,3344,163,967,350,57,1152,221,154,3394,2825,2714,111,185,152,23,55,154,0,9093,5314,3798,1516,442,247,110,1206,1669,105,B08528,Means of Transportation to Work
0500000US36005,"Bronx, New York",379828,62263,141576,31015,25284,5646,144332,19940,3867,1926,5547,248,41024,28423,27411,1012,5021,4000,848,508,2219,5,9354,6001,5772,229,1070,939,223,37,1066,18,18258,9984,8325,1659,1375,723,302,192,5619,63,B08528,Means of Transportation to Work
0500000US36035,"Fulton, New York",18205,2091,15226,1886,1533,167,54,5,0,8,0,0,534,413,386,27,40,19,0,0,62,0,461,371,371,0,51,11,3,0,25,0,397,218,176,42,34,3,4,0,136,2,B08528,Means of Transportation to Work
0500000US36083,"Rensselaer, New York",57954,5643,45539,4995,4550,361,1686,81,127,0,39,0,2736,1714,1608,106,760,106,46,11,99,0,665,437,426,11,58,37,38,0,95,0,2778,1663,1501,162,269,63,73,6,681,23,B08528,Means of Transportation to Work
0500000US36027,"Dutchess, New York",117830,9838,91650,8489,8687,794,1934,88,28,13,138,0,5675,3816,3595,221,1065,179,178,41,388,8,1489,1062,1002,60,154,59,69,18,127,0,8395,5176,4072,1104,777,229,84,38,2050,41,B08528,Means of Transportation to Work
0500000US36043,"Herkimer, New York",18468,2032,13861,1825,1701,109,208,1,3,0,18,0,1292,699,642,57,226,84,9,9,218,47,230,174,168,6,17,0,3,0,36,0,1176,512,410,102,86,13,35,52,458,20,B08528,Means of Transportation to Work
0500000US36089,"St. Lawrence, New York",40895,4260,31649,3570,3837,388,211,18,10,0,0,0,2684,1661,1562,99,320,194,331,14,164,0,371,212,212,0,36,44,48,0,31,0,2143,760,650,110,197,46,56,3,973,108,B08528,Means of Transportation to Work
0500000US36113,"Warren, New York",36910,2953,30195,2628,3459,174,460,60,0,0,0,42,1086,902,888,14,74,26,15,0,65,4,587,433,433,0,68,48,9,4,11,14,1123,652,539,113,89,17,15,6,326,18,B08528,Means of Transportation to Work
0500000US36055,"Monroe, New York",388887,27938,318775,24372,29584,1706,10716,801,276,44,191,0,10866,6436,6263,173,3029,590,382,101,291,37,4377,2838,2717,121,820,262,110,21,326,0,14569,9218,7721,1497,1007,207,368,121,3629,19,B08528,Means of Transportation to Work
0500000US36111,"Ulster, New York",68778,7185,52196,6398,5944,385,544,27,19,0,7,0,3341,2091,1878,213,467,200,193,4,233,153,842,675,641,34,39,22,17,10,79,0,5911,3140,2494,646,408,153,141,16,2002,51,B08528,Means of Transportation to Work
0500000US36051,"Livingston, New York",22485,2279,17882,1981,1399,108,259,24,36,0,0,0,1685,1025,969,56,177,142,228,49,60,4,190,112,98,14,10,0,63,0,5,0,1070,628,569,59,40,24,73,12,293,0,B08528,Means of Transportation to Work
0500000US36039,"Greene, New York",16611,1921,13191,1652,1451,255,8,0,0,0,0,0,582,389,322,67,45,11,18,0,30,89,416,256,223,33,9,2,15,6,128,0,963,559,417,142,29,1,7,7,339,21,B08528,Means of Transportation to Work
0500000US36003,"Allegany, New York",16419,1763,12053,1465,1257,147,89,0,2,0,0,2,2225,1050,1008,42,577,120,291,14,170,3,207,127,103,24,24,0,6,0,43,7,588,245,195,50,16,31,9,7,252,28,B08528,Means of Transportation to Work
0500000US36009,"Cattaraugus, New York",29829,4017,24628,3647,2240,184,128,6,0,0,0,0,1398,894,830,64,137,136,71,9,142,9,431,287,271,16,49,6,0,24,65,0,1004,443,369,74,56,38,6,2,456,3,B08528,Means of Transportation to Work
0500000US36093,"Schenectady, New York",67156,5915,55332,5141,4515,280,1538,229,36,3,75,0,2081,1452,1433,19,395,50,42,65,62,15,1379,1153,1113,40,47,86,23,7,63,0,2311,1377,1083,294,120,129,11,26,648,0,B08528,Means of Transportation to Work
0500000US36123,"Yates, New York",9560,887,6263,738,763,58,30,0,7,0,0,0,855,475,456,19,156,49,16,15,144,0,455,252,241,11,88,12,0,0,82,21,1194,360,211,149,83,30,18,0,588,115,B08528,Means of Transportation to Work
