"GEO_ID","NAME","B19001F_001E","B19001F_001M","B19001F_002E","B19001F_002M","B19001F_003E","B19001F_003M","B19001F_004E","B19001F_004M","B19001F_005E","B19001F_005M","B19001F_006E","B19001F_006M","B19001F_007E","B19001F_007M","B19001F_008E","B19001F_008M","B19001F_009E","B19001F_009M","B19001F_010E","B19001F_010M","B19001F_011E","B19001F_011M","B19001F_012E","B19001F_012M","B19001F_013E","B19001F_013M","B19001F_014E","B19001F_014M","B19001F_015E","B19001F_015M","B19001F_016E","B19001F_016M","B19001F_017E","B19001F_017M"
"0500000US36041","Hamilton County, New York","2","6","0","12","1","3","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1","3","0","12","0","12"
"0500000US36115","Washington County, New York","47","35","0","28","0","28","0","28","0","28","0","28","0","28","0","28","7","13","10","18","6","9","17","26","4","6","3","8","0","28","0","28","0","28"
"0500000US36013","Chautauqua County, New York","706","142","126","72","138","83","54","41","93","69","14","16","63","43","39","46","19","18","54","59","30","39","43","29","8","12","25","23","0","28","0","28","0","28"
"0500000US36047","Kings County, New York","71805","1683","8833","779","7273","625","5000","525","5552","603","4571","534","3391","422","3684","439","3137","433","2975","437","5351","570","5913","476","6627","593","3980","444","2345","313","1748","265","1425","244"
"0500000US36061","New York County, New York","63781","1844","9141","898","7598","680","4491","569","4190","591","3298","514","3400","610","3243","484","2513","454","2066","379","5049","657","5014","698","5273","653","3147","451","2032","462","1552","379","1774","405"
"0500000US36107","Tioga County, New York","36","38","0","25","0","25","0","25","0","25","25","35","0","25","1","4","2","4","0","25","8","11","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36011","Cayuga County, New York","120","47","13","20","32","33","0","28","19","22","3","4","27","29","6","9","0","28","0","28","0","28","9","9","2","3","9","12","0","28","0","28","0","28"
"0500000US36073","Orleans County, New York","286","109","62","70","5","10","124","112","50","75","19","26","0","25","13","22","0","25","0","25","0","25","0","25","13","27","0","25","0","25","0","25","0","25"
"0500000US36091","Saratoga County, New York","373","167","0","28","14","23","0","28","0","28","0","28","0","28","0","28","0","28","23","28","12","21","32","37","204","136","29","44","14","23","33","39","12","19"
"0500000US36087","Rockland County, New York","6469","556","270","115","435","168","247","115","316","128","371","142","332","153","325","131","332","147","165","90","616","222","403","128","1060","287","581","210","428","165","305","117","283","127"
"0500000US36021","Columbia County, New York","230","81","8","11","33","34","12","21","41","34","29","43","0","28","33","35","0","28","0","28","12","18","45","45","8","13","2","4","0","28","0","28","7","10"
"0500000US36049","Lewis County, New York","33","34","0","22","0","22","14","15","0","22","19","31","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22"
"0500000US36063","Niagara County, New York","445","132","31","31","169","97","0","28","5","7","32","31","4","6","31","27","24","40","0","28","8","13","14","17","46","41","26","32","9","8","46","66","0","28"
"0500000US36119","Westchester County, New York","30020","950","1593","292","1364","323","1434","360","1811","438","1884","419","1519","335","1679","419","1190","306","1370","322","2933","540","3331","471","3494","445","2101","358","1740","351","1401","294","1176","271"
"0500000US36025","Delaware County, New York","81","51","4","7","0","25","14","16","53","52","0","25","0","25","0","25","0","25","0","25","5","10","0","25","1","3","4","5","0","25","0","25","0","25"
"0500000US36031","Essex County, New York","62","57","22","49","0","25","7","10","0","25","1","2","0","25","0","25","0","25","0","25","2","4","10","15","0","25","0","25","2","4","0","25","18","28"
"0500000US36057","Montgomery County, New York","1082","180","199","81","133","73","97","71","43","34","145","65","36","30","70","53","3","5","12","15","98","90","109","75","12","19","73","51","52","69","0","25","0","25"
"0500000US36059","Nassau County, New York","22332","976","919","220","793","233","654","194","983","247","1042","311","853","218","779","227","963","236","724","192","1631","357","2619","497","3306","406","2135","341","1575","317","2018","385","1338","247"
"0500000US36085","Richmond County, New York","5611","595","935","278","338","116","308","125","153","82","306","176","132","78","117","80","288","138","134","107","448","167","472","177","694","192","330","113","369","165","331","158","256","118"
"0500000US36097","Schuyler County, New York","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"0500000US36109","Tompkins County, New York","235","144","83","91","67","92","0","28","0","28","32","40","27","32","0","28","0","28","0","28","0","28","21","30","0","28","5","9","0","28","0","28","0","28"
"0500000US36017","Chenango County, New York","64","46","0","25","5","7","0","25","9","14","9","13","0","25","0","25","0","25","0","25","15","22","26","33","0","25","0","25","0","25","0","25","0","25"
"0500000US36023","Cortland County, New York","107","101","0","25","0","25","18","32","61","89","0","25","0","25","9","13","0","25","0","25","0","25","0","25","19","22","0","25","0","25","0","25","0","25"
"0500000US36045","Jefferson County, New York","391","143","0","28","0","28","0","28","11","20","36","39","46","38","7","10","122","87","16","22","64","60","62","55","5","9","4","7","10","16","8","13","0","28"
"0500000US36065","Oneida County, New York","841","187","134","84","130","86","108","79","98","68","84","68","57","45","42","46","13","14","23","25","28","34","49","43","25","27","13","16","6","12","25","33","6","11"
"0500000US36103","Suffolk County, New York","14422","796","465","173","490","195","439","186","317","119","371","181","632","244","619","209","441","149","761","248","913","262","1739","365","2345","427","1536","287","1260","280","1298","318","796","206"
"0500000US36121","Wyoming County, New York","117","57","0","25","24","41","0","25","0","25","0","25","15","23","4","8","0","25","27","48","0","25","0","25","37","40","7","13","0","25","0","25","3","5"
"0500000US36015","Chemung County, New York","135","68","0","28","20","23","13","22","11","17","0","28","0","28","19","24","0","28","0","28","35","57","0","28","24","25","8","12","5","8","0","28","0","28"
"0500000US36075","Oswego County, New York","200","104","106","80","0","28","59","62","0","28","0","28","0","28","0","28","7","11","0","28","17","21","0","28","11","18","0","28","0","28","0","28","0","28"
"0500000US36077","Otsego County, New York","153","79","28","31","32","39","14","21","2","3","14","21","0","28","0","28","0","28","0","28","32","44","31","44","0","28","0","28","0","28","0","28","0","28"
"0500000US36117","Wayne County, New York","215","104","7","13","41","52","0","28","29","32","12","14","0","28","44","43","0","28","4","7","0","28","78","76","0","28","0","28","0","28","0","28","0","28"
"0500000US36001","Albany County, New York","1565","329","272","141","73","56","109","95","78","59","102","88","104","74","104","91","9","14","136","99","162","112","204","119","168","99","0","28","0","28","19","23","25","23"
"0500000US36007","Broome County, New York","458","138","114","65","87","64","26","27","48","42","42","31","0","28","8","16","0","28","0","28","34","29","24","35","53","62","2","4","0","28","20","28","0","28"
"0500000US36029","Erie County, New York","6831","568","1444","232","1275","262","649","199","672","213","285","131","326","135","274","134","405","137","188","87","165","89","322","121","347","145","243","134","99","69","86","70","51","47"
"0500000US36053","Madison County, New York","48","43","12","18","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","15","23","0","28","3","4","0","28","18","29","0","28"
"0500000US36105","Sullivan County, New York","1017","240","89","67","66","59","103","89","74","83","42","50","74","79","45","56","153","86","26","29","41","33","113","87","136","75","19","29","20","31","0","28","16","23"
"0500000US36037","Genesee County, New York","331","114","0","28","23","33","5","9","14","21","44","45","114","105","0","28","36","44","23","27","25","38","26","28","11","18","0","28","5","10","0","28","5","9"
"0500000US36071","Orange County, New York","9684","627","806","226","402","169","585","226","467","151","408","183","502","173","588","199","615","224","283","122","657","195","1084","253","946","227","556","175","671","199","817","237","297","128"
"0500000US36005","Bronx County, New York","169890","2366","26269","1305","19898","1179","15073","973","11988","925","10084","841","9327","714","8721","776","8353","802","6780","606","12429","978","11766","618","13951","957","7357","631","3248","412","3014","431","1632","309"
"0500000US36035","Fulton County, New York","160","89","12","18","0","28","72","75","0","28","47","69","0","28","15","25","0","28","0","28","0","28","0","28","0","28","0","28","14","18","0","28","0","28"
"0500000US36083","Rensselaer County, New York","529","171","62","40","19","28","64","57","17","23","29","39","16","21","106","98","11","19","8","10","20","23","84","66","69","63","23","20","0","28","1","2","0","28"
"0500000US36027","Dutchess County, New York","3083","360","123","93","126","86","134","78","323","174","301","144","188","96","193","123","99","65","110","79","132","84","285","118","420","162","230","100","218","120","135","70","66","50"
"0500000US36043","Herkimer County, New York","26","27","0","28","0","28","0","28","0","28","0","28","4","7","0","28","2","3","0","28","0","28","0","28","16","26","0","28","4","7","0","28","0","28"
"0500000US36089","St. Lawrence County, New York","108","64","30","29","0","28","0","28","1","2","0","28","0","28","9","14","0","28","12","19","12","18","0","28","16","19","13","15","4","6","0","28","11","17"
"0500000US36113","Warren County, New York","74","53","0","28","49","49","0","28","0","28","7","11","0","28","0","28","0","28","0","28","0","28","8","12","0","28","5","7","5","6","0","28","0","28"
"0500000US36055","Monroe County, New York","4112","420","574","158","511","162","319","153","243","108","267","104","345","155","236","106","155","68","193","99","227","88","307","113","403","138","205","114","37","29","38","42","52","44"
"0500000US36111","Ulster County, New York","1176","237","58","40","58","61","113","83","60","41","151","85","58","58","131","87","14","16","60","57","68","60","109","62","173","116","52","52","15","20","27","33","29","39"
"0500000US36051","Livingston County, New York","194","95","25","37","0","28","6","15","0","28","4","8","47","52","31","45","0","28","0","28","19","25","7","11","45","36","0","28","0","28","3","5","7","8"
"0500000US36039","Greene County, New York","74","42","0","25","0","25","14","17","0","25","0","25","0","25","0","25","0","25","8","14","7","11","31","29","9","14","0","25","0","25","5","7","0","25"
"0500000US36003","Allegany County, New York","6","6","0","25","0","25","1","2","0","25","0","25","0","25","0","25","0","25","0","25","0","25","5","6","0","25","0","25","0","25","0","25","0","25"
"0500000US36009","Cattaraugus County, New York","93","42","5","8","0","28","9","8","0","28","8","9","36","32","0","28","7","9","6","7","18","17","0","28","4","6","0","28","0","28","0","28","0","28"
"0500000US36093","Schenectady County, New York","1365","282","64","56","152","97","118","80","61","53","53","55","74","51","57","53","58","67","83","70","228","120","132","86","218","102","45","45","14","20","8","13","0","28"
"0500000US36123","Yates County, New York","60","46","10","17","0","22","0","22","0","22","0","22","0","22","0","22","0","22","16","24","8","13","4","7","22","34","0","22","0","22","0","22","0","22"
