"GEO_ID","NAME","B19001G_001E","B19001G_001M","B19001G_002E","B19001G_002M","B19001G_003E","B19001G_003M","B19001G_004E","B19001G_004M","B19001G_005E","B19001G_005M","B19001G_006E","B19001G_006M","B19001G_007E","B19001G_007M","B19001G_008E","B19001G_008M","B19001G_009E","B19001G_009M","B19001G_010E","B19001G_010M","B19001G_011E","B19001G_011M","B19001G_012E","B19001G_012M","B19001G_013E","B19001G_013M","B19001G_014E","B19001G_014M","B19001G_015E","B19001G_015M","B19001G_016E","B19001G_016M","B19001G_017E","B19001G_017M"
"0500000US36103","Suffolk County, New York","5666","491","243","117","293","180","122","77","160","75","188","91","231","109","83","64","153","86","268","154","360","123","370","136","652","160","697","183","534","135","637","148","675","150"
"0500000US36121","Wyoming County, New York","113","65","0","25","6","11","33","43","0","25","0","25","9","14","0","25","0","25","0","25","0","25","23","29","26","32","0","25","16","20","0","25","0","25"
"0500000US36015","Chemung County, New York","712","194","164","108","20","21","7","12","29","47","66","58","48","51","38","34","16","22","29","29","22","24","58","66","94","84","94","92","0","28","27","31","0","28"
"0500000US36075","Oswego County, New York","531","110","61","34","32","29","27","27","37","37","99","73","22","22","19","16","19","21","20","16","22","20","49","35","68","38","37","36","12","17","7","9","0","28"
"0500000US36077","Otsego County, New York","191","62","18","22","4","6","0","28","0","28","15","23","9","13","4","6","18","14","6","7","36","33","18","23","17","16","17","16","11","14","9","11","9","16"
"0500000US36117","Wayne County, New York","324","91","49","45","4","6","18","20","24","22","22","27","20","22","7","12","0","28","0","28","43","41","18","22","8","11","46","41","5","10","19","25","41","33"
"0500000US36001","Albany County, New York","2736","359","219","103","162","79","217","121","201","104","186","107","208","104","224","115","77","63","56","43","290","109","112","61","260","97","148","90","119","75","197","93","60","45"
"0500000US36007","Broome County, New York","1105","225","151","86","113","64","124","98","118","95","33","30","38","36","19","15","53","38","30","27","86","52","75","51","158","90","49","41","29","33","12","17","17","20"
"0500000US36029","Erie County, New York","4808","426","701","207","419","140","335","122","264","114","204","111","380","138","221","100","173","77","177","79","268","88","311","117","548","165","417","118","135","62","128","66","127","80"
"0500000US36053","Madison County, New York","167","60","28","26","14","17","0","28","0","28","6","8","3","5","15","23","0","28","0","28","10","13","8","11","20","20","13","15","14","15","7","12","29","26"
"0500000US36105","Sullivan County, New York","774","203","24","23","29","45","43","46","101","80","94","79","32","45","40","36","60","60","0","28","17","26","29","46","216","98","46","42","19","25","5","9","19","20"
"0500000US36037","Genesee County, New York","247","115","17","25","41","44","0","28","0","28","0","28","113","111","6","10","3","6","32","43","0","28","26","26","9","12","0","28","0","28","0","28","0","28"
"0500000US36071","Orange County, New York","2572","374","166","93","179","102","53","44","122","67","46","35","83","67","192","97","21","23","71","70","222","104","283","122","257","93","367","223","252","121","167","81","91","55"
"0500000US36005","Bronx County, New York","16256","898","1995","321","1629","278","1101","235","1002","311","831","185","894","223","544","157","481","159","509","157","1353","239","1742","407","1363","218","1099","228","568","163","589","156","556","146"
"0500000US36035","Fulton County, New York","194","73","19","25","20","22","18","27","2","5","32","33","0","28","0","28","0","28","0","28","16","16","6","10","0","28","9","14","43","50","29","42","0","28"
"0500000US36083","Rensselaer County, New York","1124","222","86","42","132","82","68","50","22","22","78","81","76","49","34","33","71","45","17","29","173","107","73","50","130","73","82","62","11","13","68","73","3","5"
"0500000US36027","Dutchess County, New York","1666","274","59","48","197","121","34","47","54","41","183","96","121","80","36","36","69","54","32","30","168","89","225","95","122","74","127","66","59","36","64","37","116","59"
"0500000US36043","Herkimer County, New York","184","70","0","28","19","16","26","22","6","7","11","12","58","45","0","28","12","17","23","31","0","28","3","5","24","30","0","28","2","5","0","28","0","28"
"0500000US36089","St. Lawrence County, New York","295","82","52","37","36","32","32","26","7","6","9","16","2","4","24","26","7","13","9","11","16","16","24","21","52","41","1","4","10","12","13","21","1","4"
"0500000US36113","Warren County, New York","246","89","59","71","0","28","28","30","9","15","17","25","10","12","6","8","0","28","12","19","58","35","0","28","4","7","21","33","22","26","0","28","0","28"
"0500000US36055","Monroe County, New York","4959","416","659","198","424","163","448","170","246","141","168","85","322","122","144","68","265","132","251","133","359","112","408","145","380","123","367","111","124","71","282","101","112","65"
"0500000US36111","Ulster County, New York","1589","262","106","64","84","57","79","99","116","79","39","36","96","61","57","56","83","83","121","69","172","94","171","91","145","89","43","32","83","62","84","89","110","63"
"0500000US36051","Livingston County, New York","191","73","13","22","93","84","0","28","0","28","8","9","0","28","9","11","0","28","5","8","32","29","7","11","0","28","18","19","6","8","0","28","0","28"
"0500000US36039","Greene County, New York","87","68","20","28","0","25","0","25","0","25","0","25","0","25","31","52","0","25","0","25","0","25","0","25","17","22","17","18","2","5","0","25","0","25"
"0500000US36003","Allegany County, New York","99","45","2","4","21","16","11","13","7","11","8","10","0","25","13","13","0","25","1","3","0","25","27","32","6","5","0","25","3","5","0","25","0","25"
"0500000US36009","Cattaraugus County, New York","352","75","12","9","37","25","45","27","28","21","26","24","42","25","12","10","5","7","17","14","16","13","19","13","59","35","7","8","13","18","14","15","0","28"
"0500000US36093","Schenectady County, New York","1362","217","159","80","121","62","47","36","109","56","162","106","87","58","37","42","47","61","66","42","53","47","87","61","169","82","117","65","33","29","25","28","43","40"
"0500000US36123","Yates County, New York","33","16","0","22","0","22","0","22","3","6","0","22","0","22","10","11","4","7","4","7","1","3","6","8","5","7","0","22","0","22","0","22","0","22"
