"GEO_ID","NAME","B19001E_001E","B19001E_001M","B19001E_002E","B19001E_002M","B19001E_003E","B19001E_003M","B19001E_004E","B19001E_004M","B19001E_005E","B19001E_005M","B19001E_006E","B19001E_006M","B19001E_007E","B19001E_007M","B19001E_008E","B19001E_008M","B19001E_009E","B19001E_009M","B19001E_010E","B19001E_010M","B19001E_011E","B19001E_011M","B19001E_012E","B19001E_012M","B19001E_013E","B19001E_013M","B19001E_014E","B19001E_014M","B19001E_015E","B19001E_015M","B19001E_016E","B19001E_016M","B19001E_017E","B19001E_017M"
"0500000US36041","Hamilton County, New York","1","3","1","3","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0500000US36115","Washington County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36013","Chautauqua County, New York","5","10","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","5","10","0","28","0","28","0","28","0","28"
"0500000US36047","Kings County, New York","308","101","45","39","0","28","12","16","54","47","0","28","0","28","0","28","5","9","0","28","9","14","57","46","42","51","36","40","16","28","32","36","0","28"
"0500000US36061","New York County, New York","272","119","67","57","0","28","0","28","24","41","0","28","0","28","0","28","0","28","0","28","12","19","22","28","46","52","0","28","51","51","19","31","31","49"
"0500000US36107","Tioga County, New York","6","10","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","6","10","0","25","0","25","0","25","0","25","0","25"
"0500000US36011","Cayuga County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36073","Orleans County, New York","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36091","Saratoga County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36087","Rockland County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36021","Columbia County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36049","Lewis County, New York","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22"
"0500000US36063","Niagara County, New York","4","8","4","8","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36119","Westchester County, New York","77","50","0","28","0","28","0","28","0","28","0","28","12","19","0","28","0","28","0","28","0","28","0","28","22","33","21","24","7","13","15","23","0","28"
"0500000US36025","Delaware County, New York","8","12","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","8","12","0","25","0","25","0","25"
"0500000US36031","Essex County, New York","4","5","2","4","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","2","3","0","25","0","25","0","25","0","25"
"0500000US36057","Montgomery County, New York","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36059","Nassau County, New York","83","56","0","28","0","28","24","36","11","18","0","28","0","28","0","28","0","28","0","28","6","12","8","13","0","28","20","28","7","11","7","12","0","28"
"0500000US36085","Richmond County, New York","63","51","0","28","24","40","0","28","0","28","0","28","10","12","8","14","0","28","0","28","0","28","0","28","11","17","10","17","0","28","0","28","0","28"
"0500000US36097","Schuyler County, New York","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19"
"0500000US36109","Tompkins County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36017","Chenango County, New York","2","4","2","4","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36023","Cortland County, New York","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36045","Jefferson County, New York","81","66","16","26","0","28","0","28","0","28","0","28","0","28","0","28","38","54","0","28","12","19","0","28","15","25","0","28","0","28","0","28","0","28"
"0500000US36065","Oneida County, New York","20","23","20","23","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36103","Suffolk County, New York","60","44","0","28","0","28","0","28","0","28","0","28","0","28","9","14","0","28","0","28","0","28","0","28","25","36","0","28","18","24","8","13","0","28"
"0500000US36121","Wyoming County, New York","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36015","Chemung County, New York","6","9","6","9","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36075","Oswego County, New York","6","14","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","6","14","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36077","Otsego County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36117","Wayne County, New York","18","27","0","28","18","27","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36001","Albany County, New York","31","21","0","28","15","22","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","16","20","0","28","0","28","0","28","0","28"
"0500000US36007","Broome County, New York","35","42","0","28","0","28","0","28","0","28","0","28","19","28","16","24","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36029","Erie County, New York","109","40","11","17","9","14","14","22","11","14","0","28","4","8","7","11","0","28","12","20","0","28","24","24","0","28","10","14","0","28","0","28","7","10"
"0500000US36053","Madison County, New York","25","35","25","35","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36105","Sullivan County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36037","Genesee County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36071","Orange County, New York","51","38","13","27","0","28","0","28","0","28","7","13","0","28","0","28","0","28","0","28","0","28","0","28","0","28","31","31","0","28","0","28","0","28"
"0500000US36005","Bronx County, New York","444","205","169","149","27","46","23","27","0","28","0","28","23","26","31","49","34","41","0","28","22","36","19","31","60","85","12","23","13","21","11","16","0","28"
"0500000US36035","Fulton County, New York","8","11","0","28","0","28","0","28","0","28","8","11","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36083","Rensselaer County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36027","Dutchess County, New York","15","23","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","8","14","0","28","7","17","0","28","0","28","0","28"
"0500000US36043","Herkimer County, New York","7","11","0","28","0","28","0","28","0","28","7","11","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36089","St. Lawrence County, New York","13","14","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","7","9","0","28","0","28","6","10","0","28"
"0500000US36113","Warren County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36055","Monroe County, New York","7","11","7","11","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36111","Ulster County, New York","40","60","0","28","0","28","0","28","0","28","0","28","40","60","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36051","Livingston County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36039","Greene County, New York","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36003","Allegany County, New York","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36009","Cattaraugus County, New York","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"0500000US36093","Schenectady County, New York","37","65","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","37","65","0","28","0","28","0","28","0","28"
"0500000US36123","Yates County, New York","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22"
